name,role,last_name,twitter_ID,state,party_affiliation,region,gender,age,religion
Eliot Engel,representative,"Engel, Eliot",RepEliotEngel,New York,D,Northeast,M,70,Jewish
Jacky Rosen,representative,"Rosen, Jacky",RepJackyRosen,Nevada,D,West,F,60,Jewish
Jan Schakowsky,representative,"Schakowsky, Jan",janschakowsky,Illinois,D,Midwest,F,73,Jewish
Jared Polis,representative,"Polis, Jared",jaredpolis,Colorado,D,West,M,42,Jewish
Jerrold Nadler,representative,"Nadler, Jerrold",RepJerryNadler,New York,D,Northeast,M,70,Jewish
John A. Yarmuth,representative,"Yarmuth, John A.",RepJohnYarmuth,Kentucky,D,South,M,70,Jewish
Lee Zeldin,representative,"Zeldin, Lee",leezeldin,New York,R,Northeast,M,37,Jewish
Lois Frankel,representative,"Frankel, Lois",RepLoisFrankel,Florida,D,South,F,69,Jewish
Nita Lowey,representative,"Lowey, Nita",NitaLowey,New York,D,Northeast,F,80,Jewish
Sander Levin,representative,"Levin, Sander",repsandylevin,Michigan,D,Midwest,M,86,Jewish
Steve Cohen,representative,"Cohen, Steve",RepCohen,Tennessee,D,South,M,68,Jewish
Susan Davis,representative,"Davis, Susan",RepSusanDavis,California,D,West,F,73,Jewish
Ted Deutch,representative,"Deutch, Ted",RepTedDeutch,Florida,D,South,M,51,Jewish
Bill Shuster,representative,"Shuster, Bill",RepBillShuster,Pennsylvania,R,Northeast,M,56,Lutheran
Chellie Pingree,representative,"Pingree, Chellie",chelliepingree,Maine,D,Northeast,F,62,Lutheran
Collin C. Peterson,representative,"Peterson, Collin C.",none,Minnesota,D,Midwest,M,73,Lutheran
David G. Reichert,representative,"Reichert, David G.",davereichert,Washington,R,West,M,67,Lutheran
David Young,representative,"Young, David",RepDavidYoung,Iowa,R,Midwest,M,49,Lutheran
Dennis Ross,representative,"Ross, Dennis",RepDennisRoss,Florida,R,South,M,58,Lutheran
Diane Black,representative,"Black, Diane",RepDianeBlack,Tennessee,R,South,F,66,Lutheran
Donald Norcross,representative,"Norcross, Donald",DonaldNorcross,New Jersey,D,Northeast,M,59,Lutheran
Erik Paulsen,representative,"Paulsen, Erik",RepErikPaulsen,Minnesota,R,Midwest,M,52,Lutheran
Glenn Grothman,representative,"Grothman, Glenn",RepGrothman,Wisconsin,R,Midwest,M,62,Lutheran
John Carter,representative,"Carter, John",JudgeCarter,Texas,R,South,M,76,Lutheran
John Shimkus,representative,"Shimkus, John",RepShimkus,Illinois,R,Midwest,M,59,Lutheran
Larry Bucshon,representative,"Bucshon, Larry",RepLarryBucshon,Indiana,R,Midwest,M,55,Lutheran
Ron Kind,representative,"Kind, Ron",RepRonKind,Wisconsin,D,Midwest,M,54,Lutheran
Ryan Zinke - Vacancy,representative,"Zinke, Ryan",none,Montana,R,West,M,null,Lutheran
Scott Peters,representative,"Peters, Scott",RepScottPeters,California,D,West,M,59,Lutheran
Timothy J. Walz,representative,"Walz, Timothy J.",RepTimWalz,Minnesota,D,Midwest,M,53,Lutheran
Zoe Lofgren,representative,"Lofgren, Zoe",RepZoeLofgren,California,D,West,F,70,Lutheran
Alcee L. Hastings,representative,"Hastings, Alcee L.",RepHastingsFL,Florida,D,South,M,81,Methodist
Bennie G. Thompson,representative,"Thompson, Bennie G.",BennieGThompson,Mississippi,D,South,M,69,Methodist
Bill Posey,representative,"Posey, Bill",congbillposey,Florida,R,South,M,70,Methodist
Bob Gibbs,representative,"Gibbs, Bob",RepBobGibbs,Ohio,R,Midwest,M,63,Methodist
Buddy Carter,representative,"Carter, Buddy",RepBuddyCarter,Georgia,R,South,M,60,Methodist
Charlie Crist,representative,"Crist, Charlie",RepCharlieCrist,Florida,D,South,M,61,Methodist
David Loebsack,representative,"Loebsack, David",daveloebsack,Iowa,D,Midwest,M,65,Methodist
Derek Kilmer,representative,"Kilmer, Derek",RepDerekKilmer,Washington,D,West,M,43,Methodist
Doris O. Matsui,representative,"Matsui, Doris O.",DorisMatsui,California,D,West,F,73,Methodist
Ed Perlmutter,representative,"Perlmutter, Ed",RepPerlmutter,Colorado,D,West,M,64,Methodist
Emanuel Cleaver,representative,"Cleaver, Emanuel",repcleaver,Missouri,D,Midwest,M,73,Methodist
Evan Jenkins,representative,"Jenkins, Evan",RepEvanJenkins,West Virginia,R,South,M,57,Methodist
Gene Green,representative,"Green, Gene",RepGeneGreen,Texas,D,South,M,70,Methodist
Gregory W. Meeks,representative,"Meeks, Gregory W.",GregoryMeeks,New York,D,Northeast,M,64,Methodist
James E. Clyburn,representative,"Clyburn, James E.",Clyburn,South Carolina,D,South,M,77,Methodist
Joe Barton,representative,"Barton, Joe",RepJoeBarton,Texas,R,South,M,68,Methodist
John Culberson,representative,"Culberson, John",CongCulberson,Texas,R,South,M,61,Methodist
Kay Granger,representative,"Granger, Kay",RepKayGranger,Texas,R,South,F,74,Methodist
Kevin Yoder,representative,"Yoder, Kevin",RepKevinYoder,Kansas,R,Midwest,M,41,Methodist
Lynn Jenkins,representative,"Jenkins, Lynn",RepLynnJenkins,Kansas,R,Midwest,F,54,Methodist
Mark Meadows,representative,"Meadows, Mark",RepMarkMeadows,North Carolina,R,South,M,58,Methodist
Mark Takano,representative,"Takano, Mark",RepMarkTakano,California,D,West,M,57,Methodist
Mike Coffman,representative,"Coffman, Mike",RepMikeCoffman,Colorado,R,West,M,62,Methodist
Mike Rogers,representative,"Rogers, Mike",RepMikeRogersAL,Alabama,R,South,M,59,Methodist
Pete Olson,representative,"Olson, Pete",PeteOlson,Texas,R,South,M,55,Methodist
Pete Sessions,representative,"Sessions, Pete",PeteSessions,Texas,R,South,M,62,Methodist
Phil Roe,representative,"Roe, Phil",DrPhilRoe,Tennessee,R,South,M,72,Methodist
Rick Larsen,representative,"Larsen, Rick",RepRickLarsen,Washington,D,West,M,52,Methodist
Robert Woodall,representative,"Woodall, Robert",RepRobWoodall,Georgia,R,South,M,47,Methodist
Sam Johnson,representative,"Johnson, Sam",SamsPressShop,Texas,R,South,M,87,Methodist
Steve Stivers,representative,"Stivers, Steve",RepSteveStivers,Ohio,R,Midwest,M,52,Methodist
Thomas Massie,representative,"Massie, Thomas",RepThomasMassie,Kentucky,R,South,M,46,Methodist
Tom Cole,representative,"Cole, Tom",TomColeOK04,Oklahoma,R,South,M,68,Methodist
Trent Kelly,representative,"Kelly, Trent",RepTrentKelly,Mississippi,R,South,M,51,Methodist
Yvette D. Clarke,representative,"Clarke, Yvette D.",RepYvetteClarke,New York,D,Northeast,F,53,Methodist
Andy Biggs,representative,"Biggs, Andy",RepAndyBiggsAZ,Arizona,R,West,M,59,Mormon
Chris Stewart,representative,"Stewart, Chris",RepChrisStewart,Utah,R,West,M,57,Mormon
Jason Chaffetz,representative,"Chaffetz, Jason",jasoninthehouse,Utah,R,West,M,50,Mormon
Mia Love,representative,"Love, Mia",RepMiaLove,Utah,R,West,F,44,Mormon
Mike Simpson,representative,"Simpson, Mike",CongMikeSimpson,Idaho,R,West,M,67,Mormon
Raul R. Labrador,representative,"Labrador, Raul R.",Raul_Labrador,Idaho,R,West,M,50,Mormon
Rob Bishop,representative,"Bishop, Rob",RepMikeBishop,Utah,R,West,M,66,Mormon
Andr‚ Carson,representative,"Carson, Andr‚",RepAndreCarson,Indiana,D,Midwest,M,43,Muslim
Keith Ellison,representative,"Ellison, Keith",keithellison,Minnesota,D,Midwest,M,54,Muslim
Kenny Marchant,representative,"Marchant, Kenny",RepKenMarchant,Texas,R,South,M,66,Nazarene
Mo Brooks,representative,"Brooks, Mo",SusanWBrooks,Alabama,R,South,M,63,Non-denominational Christian
Robin Kelly,representative,"Kelly, Robin",RepRobinKelly,Illinois,D,Midwest,F,61,Non-denominational Christian
Kyrsten Sinema,representative,"Sinema, Kyrsten",RepSinema,Arizona,D,West,F,41,None
Drew Ferguson,representative,"Ferguson, A. Drew",RepDrewFerguson,Georgia,R,South,M,51,null
Anthony Brown,representative,"Brown, Anthony",RepAnthonyBrown,Maryland,D,South,M,56,null
Dave Trott,representative,"Trott, Dave",repdavetrott,Michigan,R,Midwest,M,57,null
Don Bacon,representative,"Bacon, Don",RepDonBacon,Nebraska,R,West,M,54,null
Dwight Evans,representative,"Evans, Dwight",RepDwightEvans,Pennsylvania,D,Northeast,M,63,null
Luis Correa,representative,"Correa, J. Luis",RepLouCorrea,California,D,West,M,59,null
Jack Bergman,representative,"Bergman, Jack",RepJackBergman,Michigan,R,Midwest,M,70,null
Jenniffer Gonzalez,representative,"Gonzalez, Jenniffer",RepJenniffer,Puerto Rico,R,Territory,F,41,null
Jim Banks,representative,"Banks, Jim",RepCarbajal,Indiana,R,Midwest,M,38,null
John B. Larson,representative,"Larson, John B.",RepJohnLarson,Connecticut,D,Northeast,M,69,null
Markwayne Mullin,representative,"Mullin, Markwayne",RepMullin,Oklahoma,R,South,M,40,Pentecostal
Billy Long,representative,"Long, Billy",USRepLong,Missouri,R,Midwest,M,62,Presbyterian
Carolyn Maloney,representative,"Maloney, Carolyn",RepSeanMaloney,New York,D,Northeast,F,71,Presbyterian
Charles W. Dent,representative,"Dent, Charles W.",RepCharlieDent,Pennsylvania,R,Northeast,M,57,Presbyterian
Dave Brat,representative,"Brat, Dave",RepDaveBrat,Virginia,R,South,M,53,Presbyterian
Denny Heck,representative,"Heck, Denny",RepDennyHeck,Washington,D,West,M,65,Presbyterian
Diana DeGette,representative,"DeGette, Diana",RepDianaDeGette,Colorado,D,West,F,60,Presbyterian
Jeff Denham,representative,"Denham, Jeff",RepJeffDenham,California,R,West,M,50,Presbyterian
Jeff Duncan,representative,"Duncan, Jeff",RepJeffDuncan,South Carolina,R,South,M,51,Presbyterian
Jim Himes,representative,"Himes, Jim",jahimes,Connecticut,D,Northeast,M,51,Presbyterian
Joe Wilson,representative,"Wilson, Joe",RepJoeWilson,South Carolina,R,South,M,70,Presbyterian
Kathy Castor,representative,"Castor, Kathy",USRepKCastor,Florida,D,South,F,51,Presbyterian
Luke Messer,representative,"Messer, Luke",RepLukeMesser,Indiana,R,Midwest,M,48,Presbyterian
Mac Thornberry,representative,"Thornberry, Mac",MacTXPress,Texas,R,South,M,59,Presbyterian
Marsha Blackburn,representative,"Blackburn, Marsha",MarshaBlackburn,Tennessee,R,South,F,65,Presbyterian
Martha Roby,representative,"Roby, Martha",RepMarthaRoby,Alabama,R,South,F,41,Presbyterian
Mike Pompeo - Vacancy,representative,"Pompeo, Mike - Vacancy",none,Kansas,R,Midwest,M,null,Presbyterian
Ryan Costello,representative,"Costello, Ryan",RepRyanCostello,Pennsylvania,R,Northeast,M,41,Presbyterian
Gary Palmer,representative,"Palmer, Gary",USRepGaryPalmer,Alabama,R,South,M,63,Presbyterian Church of America
Adam Kinzinger,representative,"Kinzinger, Adam",RepKinzinger,Illinois,R,Midwest,M,39,Protestant
Barry Loudermilk,representative,"Loudermilk, Barry",RepLoudermilk,Georgia,R,South,M,54,Protestant
Bill Johnson,representative,"Johnson, Bill",RepBillJohnson,Ohio,R,Midwest,M,63,Protestant
Bobby L. Rush,representative,"Rush, Bobby L.",RepBobbyRush,Illinois,D,Midwest,M,71,Protestant
Brian Mast,representative,"Mast, Brian",RepBrianMast,Florida,R,South,M,37,Protestant
Claudia Tenney,representative,"Tenney, Claudia",RepTenney,New York,R,Northeast,F,56,Protestant
Dan Newhouse,representative,"Newhouse, Dan",RepNewhouse,Washington,R,West,M,62,Protestant
Dana Rohrabacher,representative,"Rohrabacher, Dana",RepRohrabacher,California,R,West,M,70,Protestant
Fred Upton,representative,"Upton, Fred",RepFredUpton,Michigan,R,Midwest,M,64,Protestant
Jodey Arrington,representative,"Arrington, Jodey",RepArrington,Texas,R,South,M,45,Protestant
Katherine Clark,representative,"Clark, Katherine",RepKClark,Massachusetts,D,Northeast,F,54,Protestant
Randy Hultgren,representative,"Hultgren, Randy",RepHultgren,Illinois,R,Midwest,M,51,Protestant
Robert Pittenger,representative,"Pittenger, Robert",reppittenger,North Carolina,R,South,M,69,Protestant
Terri A. Sewell,representative,"Sewell, Terri A.",RepTerriSewell,Alabama,D,South,F,52,Protestant
Sheila Jackson Lee,representative,"Jackson Lee, Sheila",JacksonLeeTX18,Texas,D,South,F,67,Seventh-day Adventist
Mike Bost,representative,"Bost, Mike",RepBost,Illinois,R,Midwest,M,57,Southern Baptist
Ami Bera,representative,"Bera, Ami",RepBera,California,D,West,F,52,Unitarian
Scott Perry,representative,"Perry, Scott",RepScottPerry,Pennsylvania,R,Northeast,M,55,United Brethren
Tim Walberg,representative,"Walberg, Tim",RepWalberg,Michigan,R,Midwest,M,66,United Brethren
Bill Foster,representative,"Foster, Bill",RepBillFoster,Illinois,D,Midwest,M,62,Unspecified
Earl Blumenauer,representative,"Blumenauer, Earl",repblumenauer,Oregon,D,West,M,69,Unspecified
Jared Huffman,representative,"Huffman, Jared",RepHuffman,California,D,West,M,53,Unspecified
Mark Pocan,representative,"Pocan, Mark",repmarkpocan,Wisconsin,D,Midwest,M,53,Unspecified
Suzanne Bonamici,representative,"Bonamici, Suzanne",RepBonamici,Oregon,D,West,F,63,Unspecified
Doug LaMalfa,representative,"LaMalfa, Doug",RepLaMalfa,California,R,West,M,57,Unspecified Christian
Eric Swalwell,representative,"Swalwell, Eric",RepSwalwell,California,D,West,M,37,Unspecified Christian
C. A. Dutch Ruppersberger,representative,"Ruppersberger, C. A. Dutch",Call_Me_Dutch,Maryland,D,South,M,71,null
John J. Duncan Jr.,representative,"Duncan Jr., John J.",RepJohnDuncanJr,Tennessee,R,South,M,70,
John P. Sarbanes,representative,"Sarbanes, John P.",RepSarbanes,Maryland,D,South,M,55,Greek Orthodox
John Rutherford,representative,"Rutherford, John",RepRutherfordFL,Florida,R,South,M,65,Protestant
Joseph Crowley,representative,"Crowley, Joseph",repjoecrowley,New York,D,Northeast,M,55,null
Josh Gottheimer,representative,"Gottheimer, Josh",RepJoshG,New Jersey,D,Northeast,M,42,Jewish
Michael Conaway,representative,"Conaway, K. Michael",ConawayTX11,Texas,R,South,M,69,null
Lisa Blunt Rochester,representative,"Blunt Rochester, Lisa",RepBRochester,Delaware,D,South,F,55,null
Liz Cheney,representative,"Cheney, Liz",RepLizCheney,Wyoming,R,West,F,51,Methodist
Lloyd Doggett,representative,"Doggett, Lloyd",RepLloydDoggett,Texas,D,South,M,71,Methodist
Lloyd Smucker,representative,"Smucker, Lloyd",RepSmucker,Pennsylvania,R,Northeast,M,53,null
Marc Veasey,representative,"Veasey, Marc",RepVeasey,Texas,D,South,M,46,Protestant
Matt Gaetz,representative,"Gaetz, Matt",RepMattGaetz,Florida,R,South,M,35,Baptist
Michael E. Capuano,representative,"Capuano, Michael E.",mikecapuano,Massachusetts,D,Northeast,M,65,Catholic
Michael Turner,representative,"Turner, Michael",RepMikeTurner,Ohio,R,Midwest,M,57,null
Mike Doyle,representative,"Doyle, Mike",USRepMikeDoyle,Pennsylvania,D,Northeast,M,64,null
Mike Gallagher,representative,"Gallagher, Mike",RepGallagher,Wisconsin,R,Midwest,M,33,null
Mike Johnson,representative,"Johnson, Mike",RepMikeJohnson,Louisiana,R,South,M,45,Baptist
Nanette Barragan,representative,"Barrag n, Nanette",RepBarragan,California,D,West,F,41,null
Neal Dunn,representative,"Dunn, Neal",DrNealDunnFL2,Florida,R,South,M,64,null
Paul A. Gosar,representative,"Gosar, Paul A.",RepGosar,Arizona,R,West,M,59,null
Paul Mitchell,representative,"Mitchell, Paul",RepPaulMitchell,Michigan,R,Midwest,M,56,null
Pramila Jayapal,representative,"Jayapal, Pramila",none,Washington,D,West,F,52,Hindu
Richard E. Neal,representative,"Neal, Richard E.",RepRichardNeal,Massachusetts,D,Northeast,M,68,null
Rick Allen,representative,"Allen, Rick",RepRickAllen,Georgia,R,South,M,66,Methodist
Ro Khanna,representative,"Khanna, Ro",RepRoKhanna,California,D,West,M,41,Hindu
Robert Brady,representative,"Brady, Robert",RepBrady,Pennsylvania,D,Northeast,M,72,null
Robert C. Scott,representative,"Scott, Robert C.",none,Virginia,D,South,M,70,null
Robert E. Latta,representative,"Latta, Robert E.",boblatta,Ohio,R,Midwest,M,61,Catholic
Rodney Davis,representative,"Davis, Rodney",RodneyDavis,Illinois,R,Midwest,M,47,null
Roger Marshall,representative,"Marshall, Roger",none,Kansas,R,Midwest,M,-943,null
Ruben J. Kihuen,representative,"Kihuen, Ruben J.",RepKihuen,Nevada,D,West,M,37,Catholic
S. Brett Guthrie,representative,"Guthrie, S. Brett",RepGuthrie,Kentucky,R,South,M,53,Church of Christ
Salud Carbajal,representative,"Carbajal, Salud",RepCarbajal,California,D,West,M,53,Catholic
Scott Taylor,representative,"Taylor, Scott",RepScottTaylor,Virginia,R,South,M,38,null
Stacey Plaskett,representative,"Plaskett, Stacey",none,Virgin Islands,D,Territory,F,53,Lutheran
Stephanie Murphy,representative,"Murphy, Stephanie",RepStephMurphy,Florida,D,South,F,39,Protestant
Ted Budd,representative,"Budd, Ted",RepTedBudd,North Carolina,R,South,M,46,Protestant
Thomas Garrett,representative,"Garrett, Thomas",Rep_Tom_Garrett,Virginia,R,South,M,45,null
Thomas Suozzi,representative,"Suozzi, Thomas",RepTomSuozzi,New York,D,Northeast,M,55,Catholic
Tim Murphy,representative,"Murphy, Tim",RepTimMurphy,Pennsylvania,R,Northeast,M,65,Catholic
Tom O'Halleran,representative,"O'Halleran, Tom",RepOHalleran,Arizona,D,West,M,71,Catholic
Tom Reed,representative,"Reed, Tom",RepTomReed,New York,R,Northeast,M,46,Catholic
Trey Hollingsworth,representative,"Hollingsworth, Trey",RepTrey,Indiana,R,Midwest,M,34,Protestant
Val Demings,representative,"Demings, Val",RepValDemings,Florida,D,South,F,60,Protestant
Vicente Gonzalez,representative,"Gonzalez, Vicente",RepGonzalez,Texas,D,South,M,50,Catholic
Warren Davidson,representative,"Davidson, Warren",WarrenDavidson,Ohio,R,Midwest,M,47,Protestant
William Keating,representative,"Keating, William",USRepKeating,Massachusetts,D,Northeast,M,65,Catholic
